Paper ID,Student Name,Age,Class,Phone Number,Subject,Correct Marks,Exam Date,Score (%),Grade,GPA
P1505,Scott Vaughn,21,Class I,0128423670,History,23,2024-05-20,57.50,C+,2.3
P1601,Sheri Martinez,23,Class E,0152961657,Physics,0,2024-02-12,0.00,E,0.0
P1602,Melissa Burton,22,Class C,0195402118,Physics,8,2024-05-23,20.00,E,0.0
P1603,Charles Ray,18,Class G,0166077200,Geography,33,2024-06-27,82.50,A-,3.7
P1604,Zachary Garrett,18,Class J,0137592723,Geography,25,2024-10-23,62.50,B-,2.7
P1605,Sarah Camacho,21,Class J,0115162583,English,36,2024-02-12,90.00,A-,3.7
P1701,Stephanie Green,20,Class E,0116229432,Geography,1,2024-09-21,2.50,E,0.0
P1702,Andrew Jones,21,Class A,0102516501,Physics,22,2024-05-24,55.00,C+,2.3
P1703,Jamie Mitchell,19,Class H,0128936049,Geography,2,2024-07-20,5.00,E,0.0
P1704,Audrey Cooper,25,Class C,0131780860,History,13,2024-07-25,32.50,E,0.0
P1705,Amber Adkins,24,Class C,0118552675,Physics,22,2024-12-13,55.00,C+,2.3
P1801,Carolyn Long,20,Class D,0107727951,Chemistry,33,2024-05-13,82.50,A-,3.7
P1802,Taylor Simpson,23,Class G,0168863014,Biology,24,2024-04-17,60.00,B-,2.7
P1803,Jessica Jones,22,Class G,0194850132,Math,29,2024-07-31,72.50,B+,3.3
P1804,Kimberly Robinson,21,Class I,0102184634,English,35,2024-03-12,87.50,A-,3.7
P1805,John Harris,25,Class A,0148719742,Chemistry,33,2024-04-05,82.50,A-,3.7
P1901,Melissa Fuller,24,Class C,0186813345,History,3,2024-07-16,7.50,E,0.0
P1902,Daniel Haas,18,Class C,0148301310,History,4,2024-11-06,10.00,E,0.0
P1903,Mary Long,22,Class E,0179657327,Geography,38,2024-12-23,95.00,A-,3.7
P1904,Jeremy Johnston,24,Class A,0196530544,Math,36,2024-05-03,90.00,A-,3.7
P1905,Diana Rubio,23,Class F,0185816158,History,32,2024-08-25,80.00,A-,3.7
P2001,Nicole Avila,20,Class H,0198903270,Science,38,2024-09-30,95.00,A-,3.7
P2002,Katrina Hall,21,Class E,0197363208,Physics,22,2024-03-22,55.00,C+,2.3
P2003,Joel Hill,25,Class I,0124445678,Math,10,2024-08-10,25.00,E,0.0
P2004,Brent Jacobs,25,Class I,0103339659,Geography,2,2024-03-26,5.00,E,0.0
P2005,Donald Johnson,20,Class E,0184795904,Math,35,2024-10-30,87.50,A-,3.7
P2101,Sara Anderson,24,Class A,0137915457,History,29,2024-01-27,72.50,B+,3.3
P2102,Madeline Carlson,19,Class H,0179924744,Science,25,2024-04-25,62.50,B-,2.7
P2103,Julia Rodriguez,20,Class B,0131893813,Math,36,2024-12-04,90.00,A-,3.7
P2104,Ryan Sparks,21,Class A,0186024194,English,19,2024-03-04,47.50,C-,1.7
P2105,Abigail Thomas,25,Class J,0123378573,Physics,9,2024-08-09,22.50,E,0.0
P2201,Micheal Mahoney,24,Class I,0149422774,Science,1,2024-10-06,2.50,E,0.0
P2202,Erica Franklin,21,Class H,0171352288,Geography,23,2024-12-19,57.50,C+,2.3
P2203,Shawn Bradford,23,Class J,0155912058,Geography,24,2024-12-12,60.00,B-,2.7
P2204,Destiny Evans,20,Class D,0131376351,English,12,2024-02-22,30.00,E,0.0
P2205,Terry Owen,25,Class G,0149378423,Science,1,2024-07-26,2.50,E,0.0
P2301,Chelsea Brown,19,Class B,0134381290,History,36,2024-05-29,90.00,A-,3.7
P2302,Michael Smith,25,Class A,0175468411,Math,27,2024-04-11,67.50,B,3.0
P2303,Christopher Lopez,18,Class B,0105682471,Chemistry,12,2024-03-03,30.00,E,0.0
P2304,Stephanie Dunn,24,Class I,0108622928,Geography,17,2024-09-11,42.50,D,1.0
P2305,Cristina Boyd,19,Class E,0169455370,History,33,2024-06-01,82.50,A-,3.7
P2401,Jennifer Miller,18,Class F,0191698012,History,24,2024-01-16,60.00,B-,2.7
P2402,Mrs. Melissa Norton,25,Class A,0173637045,History,38,2024-09-18,95.00,A-,3.7
P2403,Daniel Watson,23,Class J,0147240294,Chemistry,20,2024-05-06,50.00,C,2.0
P2404,Cynthia Mccormick,22,Class C,0177520105,Physics,2,2024-08-03,5.00,E,0.0
P2405,Mario Rosario,20,Class B,0179470223,Biology,22,2024-07-03,55.00,C+,2.3
P2501,Steven Jordan,25,Class E,0152045578,History,21,2024-04-30,52.50,C,2.0
P2502,Mark Allen,20,Class J,0192846004,Math,12,2024-09-08,30.00,E,0.0
P2503,Frank Davis,19,Class J,0113565142,English,26,2024-10-24,65.00,B,3.0
P2504,Allison Lane,25,Class G,0149573920,Geography,21,2024-02-02,52.50,C,2.0
P2505,Emily Cook,25,Class E,0112015590,History,30,2024-10-31,75.00,B+,3.3
P2601,Michelle Johnson,25,Class C,0104087977,Biology,26,2024-10-25,65.00,B,3.0
P2602,Bradley Gonzalez,24,Class H,0112787099,Chemistry,39,2024-12-18,97.50,A-,3.7
P2603,Jesse Smith,21,Class G,0197410075,English,9,2024-04-17,22.50,E,0.0
P2604,James Bishop,18,Class F,0151799699,Biology,31,2024-04-22,77.50,B+,3.3
P2605,Chad Snyder,25,Class A,0155021824,Geography,5,2024-11-25,12.50,E,0.0
P2701,Morgan Aguirre,21,Class F,0182878463,English,21,2024-03-16,52.50,C,2.0
P2702,Ryan Lowe,19,Class G,0105404295,Physics,10,2024-03-28,25.00,E,0.0
P2703,Donna Reyes,22,Class J,0185425778,Biology,18,2024-08-22,45.00,D+,1.3
P2704,Andrew Reeves,19,Class A,0137579817,History,15,2024-11-19,37.50,E,0.0
P2705,Travis Butler,21,Class F,0167651952,Math,31,2024-03-09,77.50,B+,3.3
P2801,Michael Fletcher,19,Class B,0107178445,English,17,2024-01-07,42.50,D,1.0
P2802,William Johnson,22,Class A,0183708217,Physics,15,2024-07-14,37.50,E,0.0
P2803,Jason Mendoza,23,Class H,0164896342,Physics,13,2024-12-09,32.50,E,0.0
P2804,Tracey Munoz,23,Class H,0116340932,Physics,40,2024-12-04,100.00,A-,3.7
P2805,Joseph Gutierrez,20,Class B,0143681159,Physics,37,2024-09-07,92.50,A-,3.7
P2901,Nancy Skinner,20,Class H,0188591963,Math,26,2024-06-06,65.00,B,3.0
P2902,Rickey Oconnor,20,Class A,0102272323,Biology,21,2024-02-26,52.50,C,2.0
P2903,Jamie Frank,21,Class E,0152606280,English,15,2024-01-08,37.50,E,0.0
P2904,Joshua Campbell,24,Class F,0157798464,Geography,26,2024-07-23,65.00,B,3.0
P2905,Caitlin Tyler,21,Class J,0189082439,Math,30,2024-05-18,75.00,B+,3.3
P3001,James Bray,20,Class G,0138201696,Geography,29,2024-12-15,72.50,B+,3.3
P3002,Stephanie Phelps,23,Class J,0165345494,Biology,15,2024-11-01,37.50,E,0.0
P3003,Ann Mitchell,24,Class B,0155000531,Physics,23,2024-01-22,57.50,C+,2.3
P3004,Heather Roberts,21,Class F,0168708880,Chemistry,33,2024-07-27,82.50,A-,3.7
P3005,Christopher Ortega,22,Class A,0198153978,Chemistry,33,2024-08-28,82.50,A-,3.7
P3101,Gregory Cordova,22,Class H,0164987277,English,19,2024-02-29,47.50,C-,1.7
P3102,Marc Martin,18,Class E,0101915643,History,15,2024-06-08,37.50,E,0.0
P3103,Charles Edwards,25,Class H,0114984125,Chemistry,34,2024-01-06,85.00,A-,3.7
P3104,Carol Stewart,19,Class D,0172244894,Science,25,2024-02-02,62.50,B-,2.7
P3105,Stephen Thompson,20,Class G,0174249892,Science,5,2024-11-15,12.50,E,0.0
P3201,John Rivas,25,Class D,0137590919,Math,32,2024-01-24,80.00,A-,3.7
P3202,Jessica Sanchez,23,Class F,0101528624,Biology,34,2024-02-20,85.00,A-,3.7
P3203,Joseph Griffin,21,Class J,0132056928,Science,38,2024-09-03,95.00,A-,3.7
P3204,Jason Evans,22,Class J,0109215976,English,39,2024-02-16,97.50,A-,3.7
P3205,Diane Gregory,18,Class D,0184476733,Geography,40,2024-11-03,100.00,A-,3.7
P3301,Connor Rosario,20,Class H,0126343116,Geography,2,2024-02-03,5.00,E,0.0
P3302,Todd Dillon,18,Class A,0179437757,Math,4,2024-12-23,10.00,E,0.0
P3303,Sharon King,20,Class E,0159506912,Physics,1,2024-04-26,2.50,E,0.0
P3304,Phillip Carey,20,Class C,0118436135,History,18,2024-10-23,45.00,D+,1.3
P3305,Taylor Jones,20,Class C,0114999045,English,28,2024-12-23,70.00,B+,3.3
P3401,Brandon Lee,24,Class B,0116161600,Biology,21,2024-04-26,52.50,C,2.0
P3402,Stephen Ramos,20,Class F,0101802394,History,14,2024-07-09,35.00,E,0.0
P3403,Mary Hernandez,24,Class I,0109774714,English,19,2024-01-02,47.50,C-,1.7
P3404,Leah Sanders,19,Class H,0187817909,History,13,2024-08-01,32.50,E,0.0
P3405,Andre Jackson,20,Class B,0148514940,English,33,2024-10-03,82.50,A-,3.7
P3501,Thomas Hernandez,23,Class C,0142431236,Math,12,2024-10-26,30.00,E,0.0
P3502,Cheryl Gray,20,Class G,0163191748,Biology,6,2024-01-06,15.00,E,0.0
P3503,Lauren Patterson,20,Class J,0127384635,Chemistry,22,2024-04-18,55.00,C+,2.3
P3504,William Richards,24,Class F,0198416830,Geography,12,2024-10-13,30.00,E,0.0
P3505,Brad Castillo,18,Class B,0119467602,Math,35,2024-05-30,87.50,A-,3.7
P3601,Mike Sandoval,19,Class D,0165601896,History,39,2024-07-24,97.50,A-,3.7
P3602,Candace Kelly,25,Class J,0192268094,English,18,2024-11-02,45.00,D+,1.3
P3603,Brenda Frye,23,Class B,0191248918,Geography,11,2024-12-06,27.50,E,0.0
P3604,Jeffery Baker,19,Class F,0145852661,Math,20,2024-09-13,50.00,C,2.0
P3605,Samantha Hart,24,Class B,0151492756,Biology,20,2024-10-11,50.00,C,2.0
P3701,Scott Daniel,24,Class A,0196346248,Math,26,2024-05-20,65.00,B,3.0
P3702,Stefanie Christensen,19,Class F,0167245239,Chemistry,0,2024-10-05,0.00,E,0.0
P3703,Shelly Wood,24,Class I,0145807579,Chemistry,4,2024-03-26,10.00,E,0.0
P3704,Justin Hill,22,Class B,0128965223,Chemistry,19,2024-07-29,47.50,C-,1.7
P3705,Dean Price,20,Class G,0179447619,Math,23,2024-10-03,57.50,C+,2.3
P3801,Brandon Mullen,23,Class F,0195291441,Math,1,2024-03-24,2.50,E,0.0
P3802,Hayley Skinner,23,Class I,0124791075,Math,24,2024-08-14,60.00,B-,2.7
P3803,Douglas Harris,19,Class H,0155367891,Biology,32,2024-07-31,80.00,A-,3.7
P3804,Patrick Freeman PhD,20,Class D,0182277938,History,34,2024-03-11,85.00,A-,3.7
P3805,Kelli Guerrero,21,Class C,0186834662,English,17,2024-12-24,42.50,D,1.0
P3901,Angela Evans,21,Class G,0108156448,Science,2,2024-06-06,5.00,E,0.0
P3902,Judith Wilson,20,Class I,0142814510,Science,10,2024-02-25,25.00,E,0.0
P3903,Michelle Erickson,18,Class G,0172708313,Math,24,2024-01-17,60.00,B-,2.7
P3904,Alejandra Dominguez,18,Class B,0153652858,Chemistry,0,2024-05-24,0.00,E,0.0
P3905,Ashley Goodman,20,Class J,0186405907,Biology,17,2024-06-05,42.50,D,1.0
P4001,Jimmy Brown,19,Class G,0187671214,Geography,20,2024-02-07,50.00,C,2.0
P4002,Mary Holmes,20,Class G,0183668234,Math,14,2024-09-02,35.00,E,0.0
P4003,Nicole Schwartz,24,Class C,0167341952,Math,29,2024-10-20,72.50,B+,3.3
P4004,Megan Jackson,24,Class A,0196913673,Science,33,2024-06-26,82.50,A-,3.7
P4005,Amy Fields,23,Class H,0136283720,English,22,2024-10-01,55.00,C+,2.3
P4101,Jennifer Chambers,22,Class D,0193196436,Chemistry,39,2024-08-22,97.50,A-,3.7
P4102,Kimberly Mason,24,Class E,0178584880,Chemistry,2,2024-09-12,5.00,E,0.0
P4103,Anthony Perry,24,Class F,0106056998,History,24,2024-03-05,60.00,B-,2.7
P4104,David Lee,22,Class C,0127391101,English,10,2024-04-12,25.00,E,0.0
P4105,Carmen Smith,23,Class J,0149041375,Physics,33,2024-09-19,82.50,A-,3.7
P4201,Jerry Alvarado,21,Class H,0116850420,Chemistry,6,2024-11-10,15.00,E,0.0
P4202,Joyce Stout,25,Class C,0121546543,History,9,2024-09-17,22.50,E,0.0
P4203,Patricia Becker,23,Class D,0118433391,English,32,2024-05-03,80.00,A-,3.7
P4204,Marvin Donaldson,18,Class A,0194400208,English,26,2024-12-03,65.00,B,3.0
P4205,Lisa Parker,23,Class C,0173314973,Science,5,2024-11-02,12.50,E,0.0
P4301,Danielle Buckley,20,Class B,0123641955,Biology,39,2024-02-06,97.50,A-,3.7
P4302,Lauren Frank,23,Class D,0113777080,Chemistry,32,2024-01-13,80.00,A-,3.7
P4303,Paul Smith,25,Class A,0194970382,Physics,23,2024-01-10,57.50,C+,2.3
P4304,Justin Austin,21,Class C,0132925747,Science,1,2024-06-11,2.50,E,0.0
P4305,Miguel Griffith,19,Class J,0197538018,English,1,2024-10-16,2.50,E,0.0
P4401,Casey Estes,25,Class J,0194739575,Biology,13,2024-04-27,32.50,E,0.0
P4402,Donna Olsen,19,Class G,0182642298,Biology,21,2024-07-30,52.50,C,2.0
P4403,Courtney Bennett,25,Class C,0184831298,English,28,2024-01-18,70.00,B+,3.3
P4404,Stacy Frey,22,Class C,0117777997,Geography,22,2024-10-21,55.00,C+,2.3
P4405,Cory Davenport,25,Class I,0133667347,English,11,2024-02-09,27.50,E,0.0
P4501,Gerald Henderson,18,Class H,0106898079,Science,16,2024-11-16,40.00,D,1.0
P4502,Sandra Sullivan,23,Class H,0152303831,History,7,2024-05-19,17.50,E,0.0
P4503,Bridget Miller PhD,25,Class H,0154490872,History,16,2024-02-14,40.00,D,1.0
P4504,Patricia Werner,24,Class D,0102386498,Biology,35,2024-04-21,87.50,A-,3.7
P4505,Kevin Bauer,22,Class J,0137771913,History,2,2024-10-27,5.00,E,0.0
P4601,Mary Davis,21,Class H,0107800410,Biology,6,2024-09-11,15.00,E,0.0
P4602,James Rojas,19,Class E,0196529743,English,6,2024-07-28,15.00,E,0.0
P4603,Molly Anderson,22,Class D,0157970146,Biology,10,2024-07-02,25.00,E,0.0
P4604,Paul Guerrero,20,Class H,0197443227,Chemistry,5,2024-12-15,12.50,E,0.0
P4605,Anthony Kelly,20,Class A,0138577874,Physics,38,2024-12-11,95.00,A-,3.7
P4701,Benjamin Contreras,22,Class B,0113923380,English,15,2024-04-24,37.50,E,0.0
P4702,Jessica Gross,18,Class H,0115590403,Math,13,2024-06-23,32.50,E,0.0
P4703,Angela Hill,23,Class H,0122233650,History,31,2024-02-08,77.50,B+,3.3
P4704,Anna Gonzalez,23,Class F,0101367728,Chemistry,11,2024-04-18,27.50,E,0.0
P4705,Edwin Humphrey,24,Class D,0112354749,Biology,6,2024-06-22,15.00,E,0.0
P4801,Jerry Campbell,24,Class E,0118056751,Chemistry,28,2024-10-31,70.00,B+,3.3
P4802,Justin Taylor,20,Class G,0125487425,Science,40,2024-03-10,100.00,A-,3.7
P4803,Gary Franklin,23,Class F,0177540112,Chemistry,37,2024-07-26,92.50,A-,3.7
P4804,Frank Wheeler,24,Class C,0163351568,Geography,27,2024-08-21,67.50,B,3.0
P4805,Albert Hill,22,Class E,0121772369,Biology,14,2024-04-01,35.00,E,0.0
P4901,Deanna Newton,20,Class A,0104635869,Physics,34,2024-01-11,85.00,A-,3.7
P4902,Anna Roy,21,Class G,0157262726,Geography,4,2024-05-20,10.00,E,0.0
P4903,Kelly Reed MD,24,Class H,0112343836,Physics,20,2024-10-11,50.00,C,2.0
P4904,Jillian Adams,23,Class I,0187047679,History,35,2024-07-13,87.50,A-,3.7
P4905,Kurt Hansen,21,Class A,0105732797,English,10,2024-10-17,25.00,E,0.0
P5001,Debbie Huffman,18,Class F,0167665798,Math,3,2024-03-09,7.50,E,0.0
P5002,Dr. Jeremy Wang,18,Class F,0172148671,Science,15,2024-02-15,37.50,E,0.0
P5003,Hannah Yang,23,Class A,0175821816,Biology,4,2024-03-20,10.00,E,0.0
P5004,Michael Berg,23,Class F,0173243341,History,20,2024-09-05,50.00,C,2.0
P5005,Jessica Murphy,23,Class D,0156816576,Math,5,2024-09-08,12.50,E,0.0
P5101,David Walsh,25,Class C,0137725088,English,20,2024-11-18,50.00,C,2.0
P5102,Tabitha Zimmerman,19,Class D,0198105597,Science,3,2024-01-17,7.50,E,0.0
P5103,Katie Murray,20,Class H,0135709630,History,20,2024-02-12,50.00,C,2.0
P5104,Ronald Adams,24,Class H,0159573930,Chemistry,4,2024-08-26,10.00,E,0.0
P5105,Jonathon Long,25,Class C,0134323090,Physics,15,2024-12-02,37.50,E,0.0
P5201,Amy Horton,23,Class G,0174166490,History,36,2024-08-03,90.00,A-,3.7
P5202,Anna Davis,19,Class J,0114001244,Physics,13,2024-01-25,32.50,E,0.0
P5203,Katherine Adams,20,Class E,0127598952,Biology,6,2024-02-03,15.00,E,0.0
P5204,Robert Sanchez,23,Class I,0158963297,Science,8,2024-09-11,20.00,E,0.0
P5205,Laura Adkins,21,Class I,0148204258,History,23,2024-11-11,57.50,C+,2.3
P5301,Taylor Blackburn,18,Class D,0104930057,English,29,2024-08-24,72.50,B+,3.3
P5302,Rebecca Russell,19,Class E,0104560840,Physics,14,2024-02-08,35.00,E,0.0
P5303,Ashley Martin,20,Class I,0141484977,Biology,19,2024-07-10,47.50,C-,1.7
P5304,Kevin Watkins,24,Class E,0109868260,Geography,5,2024-01-03,12.50,E,0.0
P5305,Chelsea Stanley,22,Class H,0157432027,Chemistry,25,2024-04-28,62.50,B-,2.7
P5401,Samantha Robinson,21,Class B,0117961917,Geography,25,2024-12-05,62.50,B-,2.7
P5402,Daniel Fuller,24,Class I,0192515003,Physics,4,2024-04-18,10.00,E,0.0
P5403,Craig Miller,23,Class J,0112724824,Geography,10,2024-04-25,25.00,E,0.0
P5404,Kelli Castaneda,23,Class E,0191963995,Math,15,2024-04-04,37.50,E,0.0
P5405,Steven Townsend,21,Class I,0183994244,Science,29,2024-10-16,72.50,B+,3.3
P5501,Bobby Cabrera MD,24,Class J,0141228812,Math,23,2024-01-18,57.50,C+,2.3
P5502,Matthew Donaldson,20,Class I,0152399926,Geography,6,2024-03-29,15.00,E,0.0
P5503,Alexandra Washington,21,Class B,0138810234,Geography,25,2024-06-25,62.50,B-,2.7
P5504,Michael Torres,23,Class D,0176500027,History,1,2024-08-14,2.50,E,0.0
P5505,Kristina Ramsey,20,Class F,0151446842,History,10,2024-10-09,25.00,E,0.0
P5601,Paul Wilson,22,Class J,0183703744,Math,5,2024-11-26,12.50,E,0.0
P5602,Kimberly Gillespie,22,Class J,0123502070,Chemistry,7,2024-08-25,17.50,E,0.0
P5603,Charles Hill,21,Class G,0158465063,English,34,2024-10-04,85.00,A-,3.7
P5604,Angela Lopez,21,Class J,0195662835,Physics,27,2024-10-22,67.50,B,3.0
P5605,Jennifer Peterson,25,Class C,0192071741,Chemistry,30,2024-07-27,75.00,B+,3.3
P5701,Denise Warren,21,Class F,0168884626,History,26,2024-10-09,65.00,B,3.0
P5702,Willie Morris,22,Class J,0164707688,Biology,3,2024-01-09,7.50,E,0.0
P5703,Jose Coleman,23,Class G,0102914881,Math,35,2024-03-01,87.50,A-,3.7
P5704,William Le,23,Class B,0165716003,History,11,2024-08-23,27.50,E,0.0
P5705,James Hernandez,23,Class I,0183668025,Math,23,2024-08-18,57.50,C+,2.3
P5801,Anthony Davis,22,Class J,0181986681,Biology,20,2024-04-18,50.00,C,2.0
P5802,Scott Gonzales,22,Class D,0125470907,History,3,2024-09-23,7.50,E,0.0
P5803,Holly Moore,20,Class C,0111231823,English,38,2024-07-20,95.00,A-,3.7
P5804,Robert Dennis,22,Class I,0146155349,English,22,2024-12-18,55.00,C+,2.3
P5805,Jennifer Williams,21,Class A,0191679145,Science,15,2024-01-16,37.50,E,0.0
P5901,Kathy Brewer,18,Class I,0134126661,Chemistry,19,2024-01-09,47.50,C-,1.7
P5902,Todd Anderson,18,Class J,0171626122,Chemistry,12,2024-10-14,30.00,E,0.0
P5903,Andre King,21,Class F,0196989002,Math,24,2024-07-25,60.00,B-,2.7
P5904,Heather George,25,Class D,0117742644,Math,7,2024-12-18,17.50,E,0.0
P5905,Richard Fisher,25,Class B,0176899812,Chemistry,35,2024-11-27,87.50,A-,3.7
P6001,Edward Rodriguez MD,23,Class F,0123973276,Biology,9,2024-09-28,22.50,E,0.0
P6002,Joshua Castillo,18,Class H,0122140335,Math,21,2024-12-16,52.50,C,2.0
P6003,Raymond Bruce,19,Class F,0191477517,Science,28,2024-01-25,70.00,B+,3.3
P6004,William Nunez,18,Class G,0106425074,Science,9,2024-11-10,22.50,E,0.0
P6005,Lori Green,22,Class F,0148299545,Geography,32,2024-09-11,80.00,A-,3.7
